,Date,Location,MinTemp,MaxTemp,Rainfall
1,2012-01-20,Albury,20.1,36.2,0.0
2,2012-01-21,Albury,18.5,35.3,0.0
3,2012-01-22,Albury,20.9,33.0,0.0
4,2012-01-23,Albury,14.0,32.1,0.0
5,2012-01-24,Albury,16.3,32.8,0.0
6,2012-01-25,Albury,17.8,35.5,0.0
7,2012-01-26,Albury,17.5,36.4,0.0
8,2012-01-27,Albury,19.9,35.4,0.0
9,2012-01-28,Albury,19.9,34.5,0.0
10,2012-01-29,Albury,20.0,36.0,0.0
11,2012-01-30,Albury,20.8,29.1,26.8
12,2012-01-31,Albury,15.1,27.9,9.0
13,2012-02-01,Albury,14.9,28.5,0.0
14,2012-02-02,Albury,15.2,29.4,0.0
15,2012-02-03,Albury,17.0,29.8,0.0
16,2012-02-04,Albury,15.5,32.5,0.0
17,2012-02-05,Albury,16.0,33.5,0.0
18,2012-02-06,Albury,11.1,25.6,1.4
19,2012-02-07,Albury,10.9,28.1,0.0
20,2012-02-08,Albury,12.0,28.9,0.0
21,2012-02-09,Albury,14.8,24.6,0.0
22,2012-02-10,Albury,13.8,27.4,3.6
23,2012-02-11,Albury,11.5,27.8,0.0
24,2012-02-12,Albury,12.0,29.4,3.2
25,2012-02-13,Albury,13.5,29.7,0.0
26,2012-02-14,Albury,14.7,31.4,0.0
27,2012-02-15,Albury,15.0,31.9,0.0
28,2012-02-16,Albury,16.9,28.3,0.4
29,2012-02-17,Albury,17.6,31.3,0.0
30,2012-02-18,Albury,15.9,31.2,0.0
31,2012-02-19,Albury,19.6,28.0,0.0
32,2012-02-20,Albury,16.1,21.4,0.0
33,2012-02-21,Albury,13.5,28.9,1.4
34,2012-02-22,Albury,14.5,30.5,0.0
35,2012-02-23,Albury,13.7,32.4,0.0
36,2012-02-24,Albury,14.2,34.5,0.0
37,2012-02-25,Albury,15.2,36.1,0.0
38,2012-02-26,Albury,17.6,25.5,1.4
39,2012-02-27,Albury,18.5,28.0,10.6
40,2012-02-28,Albury,18.8,26.6,38.4
41,2012-02-29,Albury,19.5,24.8,0.6
42,2012-03-01,Albury,17.1,20.9,104.2
43,2012-03-02,Albury,17.0,25.8,36.6
44,2012-03-03,Albury,18.8,19.6,0.0
45,2012-03-04,Albury,16.7,24.8,66.0
46,2012-03-05,Albury,11.8,25.1,0.0
47,2012-03-06,Albury,12.4,26.2,0.0
48,2012-03-07,Albury,15.8,23.2,0.0
49,2012-03-08,Albury,15.1,24.1,0.0
50,2012-03-09,Albury,12.1,27.1,0.4
51,2012-03-10,Albury,10.8,25.9,0.0
52,2012-03-11,Albury,10.0,25.8,0.0
53,2012-03-12,Albury,13.1,27.8,0.0
54,2012-03-13,Albury,13.7,29.9,0.0
55,2012-03-14,Albury,15.5,29.3,0.0
56,2012-03-15,Albury,17.2,30.0,9.6
57,2012-03-16,Albury,19.2,20.4,19.2
58,2012-03-17,Albury,12.6,24.4,17.4
59,2012-03-18,Albury,10.4,25.5,0.0
60,2012-03-19,Albury,11.6,26.3,0.0
61,2012-03-20,Albury,12.4,28.4,0.0
62,2012-03-21,Albury,16.5,27.7,0.0
63,2012-03-22,Albury,8.2,22.1,0.0
64,2012-03-23,Albury,11.0,18.3,0.0
65,2012-03-24,Albury,8.9,19.7,0.4
66,2012-03-25,Albury,6.2,21.0,0.0
67,2012-03-26,Albury,7.7,23.0,0.0
68,2012-03-27,Albury,10.6,22.0,0.0
69,2012-03-28,Albury,13.5,23.4,0.0
70,2012-03-29,Albury,9.4,25.4,1.4
71,2012-03-30,Albury,11.0,26.5,0.0
72,2012-03-31,Albury,10.2,27.6,0.0
73,2012-04-01,Albury,12.6,26.3,0.0
74,2012-04-02,Albury,11.1,25.9,0.0
75,2012-04-03,Albury,12.9,29.9,0.0
76,2012-04-04,Albury,13.1,28.1,0.0
77,2012-04-05,Albury,12.7,28.5,0.0
78,2012-04-06,Albury,14.5,28.6,0.0
79,2012-04-07,Albury,10.1,20.4,0.0
80,2012-04-08,Albury,5.4,19.1,0.0
81,2012-04-09,Albury,5.0,18.6,0.0
82,2012-04-10,Albury,1.0,17.5,0.0
83,2012-04-11,Albury,3.0,20.1,0.0
84,2012-04-12,Albury,4.3,21.7,0.0
85,2012-04-13,Albury,4.8,22.7,0.0
86,2012-04-14,Albury,6.7,19.8,0.0
87,2012-04-15,Albury,9.4,25.4,0.0
88,2012-04-16,Albury,8.2,26.2,0.0
89,2012-04-17,Albury,9.9,24.9,0.0
90,2012-04-18,Albury,13.7,26.2,0.0
91,2012-04-19,Albury,16.9,21.4,0.8
92,2012-04-20,Albury,14.6,22.7,34.2
93,2012-04-21,Albury,11.2,25.4,0.0
94,2012-04-22,Albury,14.0,23.0,1.4
95,2012-04-23,Albury,12.2,22.5,8.2
96,2012-04-24,Albury,10.0,14.2,0.8
97,2012-04-25,Albury,7.3,17.0,1.0
98,2012-04-26,Albury,5.0,17.0,0.0
99,2012-04-27,Albury,5.5,19.6,0.0
100,2012-04-28,Albury,5.4,19.6,0.0
101,2012-04-29,Albury,4.6,18.4,0.0
102,2012-04-30,Albury,4.4,19.9,0.0
103,2012-05-01,Albury,6.8,20.7,0.0
104,2012-05-02,Albury,7.6,16.3,0.0
105,2012-05-03,Albury,2.0,14.7,1.6
106,2012-05-04,Albury,3.5,15.7,0.0
107,2012-05-05,Albury,3.2,15.5,0.0
108,2012-05-06,Albury,4.1,13.3,0.0
109,2012-05-07,Albury,4.0,14.5,0.0
110,2012-05-08,Albury,5.5,20.3,0.0
111,2012-05-09,Albury,7.2,17.0,0.0
112,2012-05-10,Albury,7.5,21.4,0.4
113,2012-05-11,Albury,6.2,19.5,0.0
114,2012-05-12,Albury,1.0,14.7,0.0
115,2012-05-13,Albury,6.4,14.8,0.0
116,2012-05-14,Albury,-0.4,15.5,0.0
117,2012-05-15,Albury,0.4,17.5,0.0
118,2012-05-16,Albury,3.2,17.0,0.0
119,2012-05-17,Albury,2.3,16.7,0.0
120,2012-05-18,Albury,2.3,15.3,0.0
121,2012-05-19,Albury,2.6,17.8,0.0
122,2012-05-20,Albury,1.9,17.2,0.0
123,2012-05-21,Albury,0.9,15.0,0.0
124,2012-05-22,Albury,1.9,15.6,0.0
125,2012-05-23,Albury,4.2,19.9,0.0
126,2012-05-24,Albury,7.8,17.0,0.0
127,2012-05-25,Albury,5.5,9.4,29.4
128,2012-05-26,Albury,6.7,13.2,6.0
129,2012-05-27,Albury,5.7,15.4,0.4
130,2012-05-28,Albury,1.9,15.9,0.2
131,2012-05-29,Albury,1.7,17.4,0.0
132,2012-05-30,Albury,2.1,18.2,0.0
133,2012-05-31,Albury,1.1,16.1,0.0
134,2012-06-01,Albury,3.5,16.3,0.0
135,2012-06-02,Albury,2.2,14.6,0.0
136,2012-06-03,Albury,5.7,13.7,3.6
137,2012-06-04,Albury,4.8,14.5,0.0
138,2012-06-05,Albury,6.2,16.0,6.0
139,2012-06-06,Albury,-1.0,15.1,0.0
140,2012-06-07,Albury,0.1,14.3,0.0
141,2012-06-08,Albury,-0.8,13.9,0.2
142,2012-06-09,Albury,0.0,14.8,0.0
143,2012-06-10,Albury,0.2,15.6,0.0
144,2012-06-11,Albury,-0.3,15.9,0.0
145,2012-06-12,Albury,0.4,16.4,0.2
146,2012-06-13,Albury,0.2,15.2,0.0
147,2012-06-14,Albury,2.3,16.7,0.0
148,2012-06-15,Albury,7.3,15.6,0.0
149,2012-06-16,Albury,1.4,10.3,0.0
150,2012-06-17,Albury,4.4,11.6,0.0
151,2012-06-18,Albury,1.3,12.7,0.0
152,2012-06-19,Albury,5.6,14.2,2.8
153,2012-06-20,Albury,-1.3,11.7,0.0
154,2012-06-21,Albury,3.0,13.8,0.6
155,2012-06-22,Albury,7.5,9.7,5.2
156,2012-06-23,Albury,-1.7,10.6,0.8
157,2012-06-24,Albury,0.2,11.3,0.4
158,2012-06-25,Albury,3.1,13.3,1.4
159,2012-06-26,Albury,2.4,14.3,1.0
160,2012-06-27,Albury,1.8,13.7,0.0
161,2012-06-28,Albury,1.2,12.3,0.0
162,2012-06-29,Albury,5.5,15.5,3.8
163,2012-06-30,Albury,0.6,11.7,4.6
164,2012-07-01,Albury,3.7,9.6,3.8
165,2012-07-02,Albury,6.4,12.3,4.6
166,2012-07-03,Albury,0.3,12.6,0.0
167,2012-07-04,Albury,-0.2,13.9,0.2
168,2012-07-05,Albury,-1.0,14.2,0.2
169,2012-07-06,Albury,-2.0,12.9,0.0
170,2012-07-07,Albury,-2.5,13.3,0.0
171,2012-07-08,Albury,-1.6,13.7,0.2
172,2012-07-09,Albury,0.2,15.1,0.0
173,2012-07-10,Albury,5.2,11.9,2.4
174,2012-07-11,Albury,9.0,14.0,27.2
175,2012-07-12,Albury,3.8,12.6,0.0
176,2012-07-13,Albury,7.1,15.8,15.4
177,2012-07-14,Albury,9.8,14.5,14.2
178,2012-07-15,Albury,6.4,11.3,9.4
179,2012-07-16,Albury,7.2,12.4,2.8
180,2012-07-17,Albury,8.7,15.4,0.4
181,2012-07-18,Albury,7.7,15.3,0.0
182,2012-07-19,Albury,-0.8,12.7,0.6
183,2012-07-20,Albury,2.3,15.3,0.0
184,2012-07-21,Albury,1.4,15.3,0.0
185,2012-07-22,Albury,0.0,15.7,0.2
186,2012-07-23,Albury,-0.1,16.1,0.0
187,2012-07-24,Albury,0.4,13.6,0.0
188,2012-07-25,Albury,2.9,14.6,0.0
189,2012-07-26,Albury,7.0,14.8,2.4
190,2012-07-27,Albury,6.7,11.5,6.2
191,2012-07-28,Albury,4.1,13.2,4.0
192,2012-07-29,Albury,1.1,13.7,1.8
193,2012-07-30,Albury,-0.6,13.1,0.0
194,2012-07-31,Albury,-1.3,13.9,0.0
195,2012-08-01,Albury,-0.5,13.7,0.2
196,2012-08-02,Albury,-1.8,12.1,0.0
197,2012-08-03,Albury,2.5,14.9,0.0
198,2012-08-04,Albury,1.5,14.9,0.0
199,2012-08-05,Albury,3.0,16.6,2.0
200,2012-08-06,Albury,4.1,11.9,1.4
201,2012-08-07,Albury,2.6,13.4,0.0
202,2012-08-08,Albury,-0.5,16.3,0.0
203,2012-08-09,Albury,5.7,11.8,11.2
204,2012-08-10,Albury,-0.5,15.4,1.0
205,2012-08-11,Albury,-0.7,16.6,0.0
206,2012-08-12,Albury,0.6,16.5,0.0
207,2012-08-13,Albury,-0.1,15.4,0.0
208,2012-08-14,Albury,1.9,16.0,0.0
209,2012-08-15,Albury,2.1,13.0,1.2
210,2012-08-16,Albury,6.2,14.7,0.6
211,2012-08-17,Albury,6.4,11.7,13.4
212,2012-08-18,Albury,3.0,14.9,6.6
213,2012-08-19,Albury,0.6,13.3,0.0
214,2012-08-20,Albury,2.1,12.4,0.0
215,2012-08-21,Albury,2.1,16.4,0.0
216,2012-08-22,Albury,6.2,19.4,0.0
217,2012-08-23,Albury,8.2,13.6,1.0
218,2012-08-24,Albury,5.3,11.4,9.4
219,2012-08-25,Albury,6.1,10.7,2.0
220,2012-08-26,Albury,7.0,14.2,0.8
221,2012-08-27,Albury,-0.2,14.3,0.0
222,2012-08-28,Albury,1.2,15.3,0.0
223,2012-08-29,Albury,2.9,17.6,0.0
224,2012-08-30,Albury,6.2,12.8,0.6
225,2012-08-31,Albury,3.4,13.4,1.0
226,2012-09-01,Albury,-1.3,15.0,0.4
227,2012-09-02,Albury,0.0,16.2,0.0
228,2012-09-03,Albury,0.6,18.7,0.0
229,2012-09-04,Albury,4.3,21.2,0.0
230,2012-09-05,Albury,2.7,22.1,0.0
231,2012-09-06,Albury,7.7,17.2,0.2
232,2012-09-07,Albury,6.8,13.8,2.6
233,2012-09-08,Albury,7.5,15.2,3.4
234,2012-09-09,Albury,6.8,17.3,0.0
235,2012-09-10,Albury,3.5,19.1,0.0
236,2012-09-11,Albury,2.7,18.8,0.0
237,2012-09-12,Albury,2.6,20.9,0.0
238,2012-09-13,Albury,9.1,15.5,1.6
239,2012-09-14,Albury,0.8,13.7,0.0
240,2012-09-15,Albury,2.4,17.5,0.0
241,2012-09-16,Albury,3.0,17.6,0.0
242,2012-09-17,Albury,4.7,17.9,0.0
243,2012-09-18,Albury,5.0,16.5,0.0
244,2012-09-19,Albury,8.4,19.2,13.2
245,2012-09-20,Albury,10.4,22.1,0.4
246,2012-09-21,Albury,11.9,19.4,0.0
247,2012-09-22,Albury,5.1,19.9,0.2
248,2012-09-23,Albury,4.2,20.7,0.0
249,2012-09-24,Albury,5.3,15.0,0.0
250,2012-09-25,Albury,0.8,17.7,0.0
251,2012-09-26,Albury,2.5,22.0,0.0
252,2012-09-27,Albury,7.6,25.7,0.0
253,2012-09-28,Albury,14.3,24.3,0.0
254,2012-09-29,Albury,8.1,14.0,4.2
255,2012-09-30,Albury,2.6,15.3,0.2
256,2012-10-01,Albury,1.8,19.1,0.0
257,2012-10-02,Albury,4.6,22.2,0.0
258,2012-10-03,Albury,5.2,24.8,0.0
259,2012-10-04,Albury,5.6,28.7,0.0
260,2012-10-05,Albury,7.5,24.3,0.0
261,2012-10-06,Albury,11.7,13.1,
262,2012-10-07,Albury,2.7,17.1,33.4
263,2012-10-08,Albury,3.5,16.8,0.0
264,2012-10-09,Albury,3.5,18.3,0.0
265,2012-10-10,Albury,5.6,16.2,0.0
266,2012-10-11,Albury,7.4,11.6,0.8
267,2012-10-12,Albury,5.0,17.9,7.6
268,2012-10-13,Albury,4.0,18.6,0.0
269,2012-10-14,Albury,4.7,21.0,0.0
270,2012-10-15,Albury,6.4,25.7,0.0
271,2012-10-16,Albury,8.7,19.0,0.0
272,2012-10-17,Albury,5.2,19.0,2.2
273,2012-10-18,Albury,5.5,22.6,0.0
274,2012-10-19,Albury,8.5,27.2,0.0
275,2012-10-20,Albury,8.8,24.9,0.0
276,2012-10-21,Albury,7.9,20.7,0.0
277,2012-10-22,Albury,5.8,19.0,0.0
278,2012-10-23,Albury,4.4,20.7,0.0
279,2012-10-24,Albury,5.4,23.6,0.0
280,2012-10-25,Albury,12.7,23.8,0.0
281,2012-10-26,Albury,7.1,18.5,0.0
282,2012-10-27,Albury,6.3,20.4,0.0
283,2012-10-28,Albury,6.2,23.7,0.0
284,2012-10-29,Albury,9.0,27.0,0.0
285,2012-10-30,Albury,11.0,28.8,0.0
286,2012-10-31,Albury,10.8,31.2,0.0
287,2012-11-01,Albury,17.3,20.6,0.0
288,2012-11-02,Albury,6.4,22.4,0.0
289,2012-11-03,Albury,9.2,24.5,0.0
290,2012-11-04,Albury,9.2,28.5,0.0
291,2012-11-05,Albury,11.6,27.3,0.0
292,2012-11-06,Albury,17.8,29.7,0.4
293,2012-11-07,Albury,18.4,20.0,10.6
294,2012-11-08,Albury,16.1,26.1,24.6
295,2012-11-09,Albury,10.3,21.8,1.6
296,2012-11-10,Albury,6.5,22.9,0.0
297,2012-11-11,Albury,8.3,24.5,0.0
298,2012-11-12,Albury,9.3,31.6,0.0
299,2012-11-13,Albury,9.1,24.6,0.0
300,2012-11-14,Albury,9.9,24.6,0.0
301,2012-11-15,Albury,10.0,26.2,0.0
302,2012-11-16,Albury,13.1,24.1,0.0
303,2012-11-17,Albury,9.0,24.2,0.0
304,2012-11-18,Albury,7.2,21.4,0.0
305,2012-11-19,Albury,5.8,25.3,0.0
306,2012-11-20,Albury,8.3,26.9,0.0
307,2012-11-21,Albury,12.3,32.4,0.0
308,2012-11-22,Albury,10.9,27.4,0.0
309,2012-11-23,Albury,11.1,29.0,0.0
310,2012-11-24,Albury,12.4,32.7,0.0
311,2012-11-25,Albury,15.3,36.7,0.0
312,2012-11-26,Albury,16.6,31.9,0.0
313,2012-11-27,Albury,15.9,28.1,0.2
314,2012-11-28,Albury,16.8,32.5,0.4
315,2012-11-29,Albury,17.8,37.4,0.0
316,2012-11-30,Albury,23.0,34.4,0.0
317,2013-01-01,Albury,12.1,34.5,0.0
318,2013-01-02,Albury,13.8,33.6,0.0
319,2013-01-03,Albury,15.8,36.9,0.0
320,2013-01-04,Albury,18.6,40.7,0.0
321,2013-01-05,Albury,19.8,43.4,0.0
322,2013-01-06,Albury,20.9,42.0,12.6
323,2013-01-07,Albury,21.9,40.4,0.0
324,2013-01-08,Albury,21.9,39.2,0.0
325,2013-01-09,Albury,13.3,25.1,0.0
326,2013-01-10,Albury,11.2,32.2,0.0
327,2013-01-11,Albury,14.5,38.8,0.0
328,2013-01-12,Albury,17.0,28.8,0.0
329,2013-01-13,Albury,18.1,22.3,0.0
330,2013-01-14,Albury,8.9,27.1,3.2
331,2013-01-15,Albury,11.2,31.4,0.0
332,2013-01-16,Albury,13.6,36.1,0.0
333,2013-01-17,Albury,15.5,39.9,0.0
334,2013-01-18,Albury,18.9,43.1,0.0
335,2013-01-19,Albury,18.1,32.2,0.8
336,2013-01-20,Albury,16.4,34.6,0.0
337,2013-01-21,Albury,19.2,36.8,0.0
338,2013-01-22,Albury,16.6,36.5,0.2
339,2013-01-23,Albury,15.7,34.0,0.0
340,2013-01-24,Albury,15.9,37.0,0.0
341,2013-01-25,Albury,21.2,35.2,0.0
342,2013-01-26,Albury,21.6,36.5,0.0
343,2013-01-27,Albury,15.3,32.9,0.0
344,2013-01-28,Albury,18.4,34.7,0.0
345,2013-01-29,Albury,20.4,32.1,0.0
346,2013-01-30,Albury,9.9,29.9,0.0
347,2013-01-31,Albury,11.5,33.9,0.0
348,2013-03-01,Albury,16.9,26.6,0.4
349,2013-03-02,Albury,14.3,29.2,0.0
350,2013-03-03,Albury,12.0,31.8,0.0
351,2013-03-04,Albury,12.8,31.0,0.0
352,2013-03-05,Albury,13.5,30.9,0.0
353,2013-03-06,Albury,14.4,31.3,0.0
354,2013-03-07,Albury,16.6,33.8,0.0
355,2013-03-08,Albury,17.9,34.9,0.0
356,2013-03-09,Albury,18.6,33.0,0.0
357,2013-03-10,Albury,19.7,35.1,0.0
358,2013-03-11,Albury,20.1,35.7,0.0
359,2013-03-12,Albury,19.4,33.7,0.0
360,2013-03-13,Albury,17.7,33.9,0.0
361,2013-03-14,Albury,15.5,30.7,0.0
362,2013-03-15,Albury,13.8,31.7,0.0
363,2013-03-16,Albury,12.0,27.5,0.0
364,2013-03-17,Albury,11.1,23.0,0.2
365,2013-03-18,Albury,7.1,24.1,0.0
366,2013-03-19,Albury,9.1,26.3,0.0
367,2013-03-20,Albury,9.9,28.6,0.0
368,2013-03-21,Albury,14.9,20.2,2.6
369,2013-03-22,Albury,10.1,23.3,17.4
370,2013-03-23,Albury,9.0,24.2,0.0
371,2013-03-24,Albury,9.5,28.3,0.0
372,2013-03-25,Albury,10.3,27.7,0.0
373,2013-03-26,Albury,14.9,31.3,0.0
374,2013-03-27,Albury,13.8,35.1,0.0
375,2013-03-28,Albury,18.3,22.2,10.4
376,2013-03-29,Albury,6.6,20.4,19.8
377,2013-03-30,Albury,7.0,21.5,0.2
378,2013-03-31,Albury,10.9,23.0,0.0
379,2013-04-01,Albury,8.4,22.9,0.0
380,2013-04-02,Albury,8.5,23.8,0.0
381,2013-04-03,Albury,8.6,22.5,0.0
382,2013-04-04,Albury,8.9,24.3,0.0
383,2013-04-05,Albury,10.3,25.3,0.0
384,2013-04-06,Albury,11.2,25.7,0.0
385,2013-04-07,Albury,10.0,26.7,0.0
386,2013-04-08,Albury,11.5,26.0,0.0
387,2013-04-09,Albury,10.7,26.6,0.0
388,2013-04-10,Albury,10.3,27.1,0.0
389,2013-04-11,Albury,10.3,27.6,0.0
390,2013-04-12,Albury,11.4,28.2,0.0
391,2013-04-13,Albury,10.4,26.7,0.0
392,2013-04-14,Albury,14.4,24.8,0.0
393,2013-04-15,Albury,14.5,23.6,0.8
394,2013-04-16,Albury,8.3,23.8,0.0
395,2013-04-17,Albury,8.9,22.2,0.0
396,2013-04-18,Albury,8.6,23.9,0.0
397,2013-04-19,Albury,5.1,17.8,0.0
398,2013-04-20,Albury,2.6,20.3,0.0
399,2013-04-21,Albury,4.0,21.1,0.0
400,2013-04-22,Albury,10.6,14.6,7.0
401,2013-04-23,Albury,10.9,20.0,1.6
402,2013-04-24,Albury,6.0,16.9,0.0
403,2013-04-25,Albury,5.7,20.5,0.0
404,2013-04-26,Albury,6.0,21.4,0.0
405,2013-04-27,Albury,5.6,23.1,0.0
406,2013-04-28,Albury,7.9,26.5,0.0
407,2013-04-29,Albury,7.9,15.8,0.2
408,2013-04-30,Albury,8.6,20.4,2.6
409,2013-05-01,Albury,9.3,17.9,0.2
410,2013-05-02,Albury,2.5,18.6,0.0
411,2013-05-03,Albury,1.7,20.6,0.0
412,2013-05-04,Albury,6.6,19.7,0.4
413,2013-05-05,Albury,1.6,17.9,0.0
414,2013-05-06,Albury,2.5,18.6,0.0
415,2013-05-07,Albury,3.9,,0.0
416,2013-05-08,Albury,7.7,21.9,
417,2013-05-09,Albury,4.7,22.3,
418,2013-05-10,Albury,6.2,23.2,
419,2013-05-11,Albury,5.7,23.4,0.0
420,2013-05-12,Albury,5.0,24.2,0.0
421,2013-05-13,Albury,11.3,15.7,9.8
422,2013-05-14,Albury,1.9,11.6,4.6
